Geo Point,Geo Shape,lib_voie,motdir,no,commune,insee,nb_places,coord_x,coord_y
"43.6086403351241,1.4524824006365755","{""coordinates"": [[1.452482400636576, 43.6086403351241]], ""type"": ""MultiPoint""}",ALLEES JEAN JAURES,JAURES (ALL JEAN JAURES),67,TOULOUSE,31555,16,1.452482,43.60864
"43.606790318849534,1.4506272479671718","{""coordinates"": [[1.450627247967172, 43.606790318849534]], ""type"": ""MultiPoint""}",ALL JEAN JAURES,JAURES (ALL JEAN JAURES),48,TOULOUSE,31555,8,1.450627,43.60679
"43.66733717639585,1.4293614478795156","{""coordinates"": [[1.429361447879516, 43.66733717639585]], ""type"": ""MultiPoint""}",RTE DE FRONTON,FRONTON - 0099 RTE DE FRONTON,99,AUCAMVILLE,31022,2,1.429361,43.667337
"43.6018334267527,1.4542764297038282","{""coordinates"": [[1.454276429703828, 43.6018334267527]], ""type"": ""MultiPoint""}",RUE SYLVAIN DAURIAC,DAURIAC (RUE SYLVAIN DAURIAC),38,TOULOUSE,31555,6,1.454276,43.601833
"43.581658151222484,1.387579836122588","{""coordinates"": [[1.387579836122588, 43.581658151222484]], ""type"": ""MultiPoint""}",PL DES PRADETTES,PRADETTES (PL DES PRADETTES),11,TOULOUSE,31555,10,1.387482,43.581627
"43.58562284504205,1.5261854253591232","{""coordinates"": [[1.526185425359123, 43.58562284504205]], ""type"": ""MultiPoint""}",RTE DE CASTRES,CASTRES - 0010 RTE DE CASTRES,10,QUINT-FONSEGRIVES,31445,6,1.526185,43.585623
"43.59685847813476,1.4650687695996203","{""coordinates"": [[1.46506876959962, 43.59685847813476]], ""type"": ""MultiPoint""}",CHE DU COIN DE LA MOURE,MOURE (CHE DU COIN DE LA MOURE),11,TOULOUSE,31555,6,1.465069,43.596858
"43.58356200479679,1.448088176410174","{""coordinates"": [[1.448088176410174, 43.58356200479679]], ""type"": ""MultiPoint""}",AV DE L URSS,URSS (AV DE L URSS),5,TOULOUSE,31555,6,1.448088,43.583562
"43.58045702702633,1.4488658251139286","{""coordinates"": [[1.448865825113929, 43.58045702702633]], ""type"": ""MultiPoint""}",AV DE L URSS,URSS (AV DE L URSS),59,TOULOUSE,31555,6,1.448866,43.580457
"43.58933948666321,1.3785016827052314","{""coordinates"": [[1.378501682705231, 43.58933948666321]], ""type"": ""MultiPoint""}",PL JACQUES SAUVEGRAIN,SAUVEGRAIN (PL JACQUES SAUVEGRAIN),2,TOULOUSE,31555,4,1.378502,43.589339
"43.6331976778876,1.4356675009442292","{""coordinates"": [[1.435667500944229, 43.6331976778876]], ""type"": ""MultiPoint""}",RUE PAUL VERLAINE,VERLAINE (RUE PAUL VERLAINE),8B,TOULOUSE,31555,4,1.435668,43.633198
"43.5847711681008,1.527521402680351","{""coordinates"": [[1.527521402680351, 43.5847711681008]], ""type"": ""MultiPoint""}",COURS GOUDOULI,GOUDOULI (COURS GOUDOULI),,QUINT-FONSEGRIVES,31445,6,1.527521,43.584771
"43.600032347381365,1.463990613639705","{""coordinates"": [[1.463990613639705, 43.600032347381365]], ""type"": ""MultiPoint""}",AV LOUIS BLERIOT,BLERIOT (AV LOUIS BLERIOT),1,TOULOUSE,31555,4,1.463991,43.600032
"43.6110705108241,1.4416872449247047","{""coordinates"": [[1.441687244924705, 43.6110705108241]], ""type"": ""MultiPoint""}",BD D ARCOLE,ARCOLE (BD D ARCOLE),14,TOULOUSE,31555,6,1.441687,43.611071
"43.61092319462562,1.3318129286155542","{""coordinates"": [[1.331812928615554, 43.61092319462562]], ""type"": ""MultiPoint""}",PAS DU ROUERGUE,ROUERGUE - 0002 PAS DU ROUERGUE,2,COLOMIERS,31149,8,1.331813,43.610923
"43.60175874662566,1.4516937668831633","{""coordinates"": [[1.451693766883163, 43.60175874662566]], ""type"": ""MultiPoint""}",BD LAZARE CARNOT,CARNOT (BD LAZARE CARNOT),23,TOULOUSE,31555,6,1.451694,43.601759
"43.60237025775317,1.4516218664850602","{""coordinates"": [[1.45162186648506, 43.60237025775317]], ""type"": ""MultiPoint""}",BD LAZARE CARNOT,CARNOT (BD LAZARE CARNOT),31,TOULOUSE,31555,4,1.451622,43.60237
"43.60527943666198,1.4489078775849955","{""coordinates"": [[1.448907877584996, 43.60527943666198]], ""type"": ""MultiPoint""}",BD LAZARE CARNOT,CARNOT (BD LAZARE CARNOT),81,TOULOUSE,31555,6,1.448908,43.605279
