Sequence,Type,Année,Tour,Département,Commune,Code canton,Code circonscription,Numéro du bureau,Indicatif,Nombre d'inscrits,Nombre d'abstentions,Nombre de votants,Nombre de votants d'après les feuilles d'émargement,Nombre de bulletins blancs,Nombre de bulletins nuls,Nombre d'exprimés,Nombre de candidats,Sigle du candidat,Nombre de voix du candidat,Geo Shape,NOM,ADRESSE,geo_point_2d
136,PR,2022,2,31,555,15,9,131,I,808,371,437,437,21,3,413,2,Macron,354,"{""coordinates"": [[[1.4063900151, 43.5789279571], [1.4057639365, 43.5801703822], [1.405358084, 43.5808250397], [1.4043518235, 43.5824884492], [1.4042969573, 43.5825763067], [1.4033080587, 43.5840021547], [1.4029752253, 43.5844990266], [1.4024642539, 43.5852067617], [1.4051017823, 43.5860992142], [1.4055063796, 43.58480118], [1.4067392459, 43.5835955374], [1.4057111863, 43.5831579742], [1.4060467273, 43.5831668146], [1.4069461688, 43.5820373474], [1.4073771048, 43.5821926104], [1.4076415226, 43.5817834236], [1.4077876057, 43.5817415188], [1.4082958725, 43.5811563662], [1.4084063926, 43.5809954854], [1.4122399318, 43.5799190601], [1.4104834188, 43.5787588039], [1.4080844086, 43.5777176128], [1.407410486, 43.5774251157], [1.4069715373, 43.5780648666], [1.4063900151, 43.5789279571]]], ""type"": ""Polygon""}",École élémentaire Georges Hyon,1 impasse Bachaga Boualam,"43.58137935075367,1.4068562137393705"
137,PR,2022,2,31,555,15,9,132,I,980,458,522,522,39,8,475,2,Le Pen,113,"{""coordinates"": [[[1.4051017823, 43.5860992142], [1.4108061406, 43.5881341949], [1.411286507, 43.588302855], [1.4119053253, 43.5870241574], [1.4118686033, 43.5867484869], [1.4127448915, 43.5855385024], [1.4119110546, 43.5853848916], [1.4110403297, 43.5852150384], [1.4111515826, 43.5847542351], [1.4103858335, 43.5846145686], [1.4090984807, 43.5843703354], [1.4089521123, 43.5847438029], [1.4082631355, 43.5846047507], [1.4078484334, 43.5843267719], [1.4075267024, 43.5841234141], [1.4080317119, 43.5835016066], [1.4087163434, 43.5831948262], [1.4097756565, 43.5828844159], [1.4095389633, 43.582608021], [1.4085265874, 43.5825949266], [1.4083192351, 43.5822055918], [1.4082958725, 43.5811563662], [1.4077876057, 43.5817415188], [1.4076415226, 43.5817834236], [1.4073771048, 43.5821926104], [1.4069461688, 43.5820373474], [1.4060467273, 43.5831668146], [1.4057111863, 43.5831579742], [1.4067392459, 43.5835955374], [1.4055063796, 43.58480118], [1.4051017823, 43.5860992142]]], ""type"": ""Polygon""}",École élémentaire Georges Hyon,1 impasse Bachaga Boualam,"43.58535107615375,1.4086628612484937"
137,PR,2022,2,31,555,15,9,132,I,980,458,522,522,39,8,475,2,Macron,362,"{""coordinates"": [[[1.4051017823, 43.5860992142], [1.4108061406, 43.5881341949], [1.411286507, 43.588302855], [1.4119053253, 43.5870241574], [1.4118686033, 43.5867484869], [1.4127448915, 43.5855385024], [1.4119110546, 43.5853848916], [1.4110403297, 43.5852150384], [1.4111515826, 43.5847542351], [1.4103858335, 43.5846145686], [1.4090984807, 43.5843703354], [1.4089521123, 43.5847438029], [1.4082631355, 43.5846047507], [1.4078484334, 43.5843267719], [1.4075267024, 43.5841234141], [1.4080317119, 43.5835016066], [1.4087163434, 43.5831948262], [1.4097756565, 43.5828844159], [1.4095389633, 43.582608021], [1.4085265874, 43.5825949266], [1.4083192351, 43.5822055918], [1.4082958725, 43.5811563662], [1.4077876057, 43.5817415188], [1.4076415226, 43.5817834236], [1.4073771048, 43.5821926104], [1.4069461688, 43.5820373474], [1.4060467273, 43.5831668146], [1.4057111863, 43.5831579742], [1.4067392459, 43.5835955374], [1.4055063796, 43.58480118], [1.4051017823, 43.5860992142]]], ""type"": ""Polygon""}",École élémentaire Georges Hyon,1 impasse Bachaga Boualam,"43.58535107615375,1.4086628612484937"
138,PR,2022,2,31,555,15,9,133,I,856,390,466,466,36,10,420,2,Le Pen,97,"{""coordinates"": [[[1.4082958725, 43.5811563662], [1.4083192351, 43.5822055918], [1.4085265874, 43.5825949266], [1.4095389633, 43.582608021], [1.4097756565, 43.5828844159], [1.4087163434, 43.5831948262], [1.4080317119, 43.5835016066], [1.4075267024, 43.5841234141], [1.4078484334, 43.5843267719], [1.4082631355, 43.5846047507], [1.4089521123, 43.5847438029], [1.4090984807, 43.5843703354], [1.4103858335, 43.5846145686], [1.4111515826, 43.5847542351], [1.4110403297, 43.5852150384], [1.4119110546, 43.5853848916], [1.4127448915, 43.5855385024], [1.4135406245, 43.5857817419], [1.4155930417, 43.5843401562], [1.4150501236, 43.5835643535], [1.4150143015, 43.583441054], [1.4136671148, 43.5816857389], [1.4129875303, 43.5808231553], [1.4123483162, 43.5800117806], [1.4122399318, 43.5799190601], [1.4084063926, 43.5809954854], [1.4082958725, 43.5811563662]]], ""type"": ""Polygon""}",École élémentaire Georges Hyon,1 impasse Bachaga Boualam,"43.58297085135094,1.4116006546410267"
138,PR,2022,2,31,555,15,9,133,I,856,390,466,466,36,10,420,2,Macron,323,"{""coordinates"": [[[1.4082958725, 43.5811563662], [1.4083192351, 43.5822055918], [1.4085265874, 43.5825949266], [1.4095389633, 43.582608021], [1.4097756565, 43.5828844159], [1.4087163434, 43.5831948262], [1.4080317119, 43.5835016066], [1.4075267024, 43.5841234141], [1.4078484334, 43.5843267719], [1.4082631355, 43.5846047507], [1.4089521123, 43.5847438029], [1.4090984807, 43.5843703354], [1.4103858335, 43.5846145686], [1.4111515826, 43.5847542351], [1.4110403297, 43.5852150384], [1.4119110546, 43.5853848916], [1.4127448915, 43.5855385024], [1.4135406245, 43.5857817419], [1.4155930417, 43.5843401562], [1.4150501236, 43.5835643535], [1.4150143015, 43.583441054], [1.4136671148, 43.5816857389], [1.4129875303, 43.5808231553], [1.4123483162, 43.5800117806], [1.4122399318, 43.5799190601], [1.4084063926, 43.5809954854], [1.4082958725, 43.5811563662]]], ""type"": ""Polygon""}",École élémentaire Georges Hyon,1 impasse Bachaga Boualam,"43.58297085135094,1.4116006546410267"
159,PR,2022,2,31,555,16,1,154,I,1225,303,922,922,67,25,830,2,Le Pen,182,"{""coordinates"": [[[1.4199304519, 43.6102273898], [1.419157336, 43.6092321022], [1.4193832249, 43.6088917501], [1.4192568207, 43.6086437849], [1.4190204611, 43.608264361], [1.4191844245, 43.6081010656], [1.4189138505, 43.6077459643], [1.4203758441, 43.6070803743], [1.420544547, 43.6072018945], [1.4206614508, 43.6064563458], [1.4196966891, 43.6067919836], [1.4180955774, 43.6075283467], [1.416062093, 43.608606507], [1.4153555389, 43.609504317], [1.4148441731, 43.6100716209], [1.4183735487, 43.6109612716], [1.4246618092, 43.6119841566], [1.4252414201, 43.610338184], [1.4258061212, 43.6098340039], [1.4274735936, 43.6083642462], [1.4278445165, 43.6084617978], [1.4283887897, 43.6084198619], [1.428286418, 43.6074667326], [1.4282838155, 43.6072093627], [1.4252415194, 43.6082805353], [1.4199304519, 43.6102273898]]], ""type"": ""Polygon""}",École élémentaire des Amidonniers,123 allée de Brienne,"43.60961384900975,1.421373935635101"
159,PR,2022,2,31,555,16,1,154,I,1225,303,922,922,67,25,830,2,Macron,648,"{""coordinates"": [[[1.4199304519, 43.6102273898], [1.419157336, 43.6092321022], [1.4193832249, 43.6088917501], [1.4192568207, 43.6086437849], [1.4190204611, 43.608264361], [1.4191844245, 43.6081010656], [1.4189138505, 43.6077459643], [1.4203758441, 43.6070803743], [1.420544547, 43.6072018945], [1.4206614508, 43.6064563458], [1.4196966891, 43.6067919836], [1.4180955774, 43.6075283467], [1.416062093, 43.608606507], [1.4153555389, 43.609504317], [1.4148441731, 43.6100716209], [1.4183735487, 43.6109612716], [1.4246618092, 43.6119841566], [1.4252414201, 43.610338184], [1.4258061212, 43.6098340039], [1.4274735936, 43.6083642462], [1.4278445165, 43.6084617978], [1.4283887897, 43.6084198619], [1.428286418, 43.6074667326], [1.4282838155, 43.6072093627], [1.4252415194, 43.6082805353], [1.4199304519, 43.6102273898]]], ""type"": ""Polygon""}",École élémentaire des Amidonniers,123 allée de Brienne,"43.60961384900975,1.421373935635101"
160,PR,2022,2,31,555,16,1,155,I,981,258,723,723,46,12,665,2,Le Pen,110,"{""coordinates"": [[[1.4233088608, 43.6043867769], [1.4205834992, 43.6050004134], [1.418666194, 43.6055763006], [1.4178698439, 43.6058489758], [1.4173261413, 43.6061145721], [1.4119291419, 43.6089557282], [1.4148441731, 43.6100716209], [1.4153555389, 43.609504317], [1.416062093, 43.608606507], [1.4180955774, 43.6075283467], [1.4196966891, 43.6067919836], [1.4206614508, 43.6064563458], [1.4215144583, 43.6063601122], [1.4224104062, 43.6062642188], [1.4243672161, 43.6062743214], [1.4243130803, 43.6073468022], [1.4243432186, 43.6074189512], [1.4252415194, 43.6082805353], [1.4282838155, 43.6072093627], [1.428161746, 43.6054750737], [1.4286673659, 43.60527476], [1.4286249938, 43.6045506287], [1.4280899602, 43.6044592955], [1.4280149315, 43.6034021355], [1.4252619428, 43.6039469506], [1.4233088608, 43.6043867769]]], ""type"": ""Polygon""}",École élémentaire des Amidonniers,123 allée de Brienne,"43.60640545841745,1.4218261084327055"
160,PR,2022,2,31,555,16,1,155,I,981,258,723,723,46,12,665,2,Macron,555,"{""coordinates"": [[[1.4233088608, 43.6043867769], [1.4205834992, 43.6050004134], [1.418666194, 43.6055763006], [1.4178698439, 43.6058489758], [1.4173261413, 43.6061145721], [1.4119291419, 43.6089557282], [1.4148441731, 43.6100716209], [1.4153555389, 43.609504317], [1.416062093, 43.608606507], [1.4180955774, 43.6075283467], [1.4196966891, 43.6067919836], [1.4206614508, 43.6064563458], [1.4215144583, 43.6063601122], [1.4224104062, 43.6062642188], [1.4243672161, 43.6062743214], [1.4243130803, 43.6073468022], [1.4243432186, 43.6074189512], [1.4252415194, 43.6082805353], [1.4282838155, 43.6072093627], [1.428161746, 43.6054750737], [1.4286673659, 43.60527476], [1.4286249938, 43.6045506287], [1.4280899602, 43.6044592955], [1.4280149315, 43.6034021355], [1.4252619428, 43.6039469506], [1.4233088608, 43.6043867769]]], ""type"": ""Polygon""}",École élémentaire des Amidonniers,123 allée de Brienne,"43.60640545841745,1.4218261084327055"
161,PR,2022,2,31,555,16,1,156,I,1098,289,809,809,49,20,740,2,Le Pen,117,"{""coordinates"": [[[1.4252415194, 43.6082805353], [1.4243432186, 43.6074189512], [1.4243130803, 43.6073468022], [1.4243672161, 43.6062743214], [1.4224104062, 43.6062642188], [1.4215144583, 43.6063601122], [1.4206614508, 43.6064563458], [1.420544547, 43.6072018945], [1.4203758441, 43.6070803743], [1.4189138505, 43.6077459643], [1.4191844245, 43.6081010656], [1.4190204611, 43.608264361], [1.4192568207, 43.6086437849], [1.4193832249, 43.6088917501], [1.419157336, 43.6092321022], [1.4199304519, 43.6102273898], [1.4252415194, 43.6082805353]]], ""type"": ""Polygon""}",École élémentaire des Amidonniers,123 allée de Brienne,"43.608027419080734,1.421847092646153"
161,PR,2022,2,31,555,16,1,156,I,1098,289,809,809,49,20,740,2,Macron,623,"{""coordinates"": [[[1.4252415194, 43.6082805353], [1.4243432186, 43.6074189512], [1.4243130803, 43.6073468022], [1.4243672161, 43.6062743214], [1.4224104062, 43.6062642188], [1.4215144583, 43.6063601122], [1.4206614508, 43.6064563458], [1.420544547, 43.6072018945], [1.4203758441, 43.6070803743], [1.4189138505, 43.6077459643], [1.4191844245, 43.6081010656], [1.4190204611, 43.608264361], [1.4192568207, 43.6086437849], [1.4193832249, 43.6088917501], [1.419157336, 43.6092321022], [1.4199304519, 43.6102273898], [1.4252415194, 43.6082805353]]], ""type"": ""Polygon""}",École élémentaire des Amidonniers,123 allée de Brienne,"43.608027419080734,1.421847092646153"
162,PR,2022,2,31,555,16,1,157,I,1111,295,816,816,56,20,740,2,Le Pen,137,"{""coordinates"": [[[1.4356522194, 43.6182556309], [1.4355018986, 43.6182910376], [1.4346705009, 43.6198092751], [1.434576358, 43.6199432604], [1.4335899734, 43.6196330537], [1.4333436486, 43.6195503033], [1.4327875616, 43.6204562577], [1.4321527953, 43.6202432275], [1.4322883239, 43.6200931528], [1.4321961901, 43.6200618952], [1.4326240923, 43.6193084408], [1.4325306267, 43.6192610495], [1.4320435331, 43.6190391886], [1.4314983333, 43.6198743736], [1.4321414119, 43.6200954675], [1.4320613613, 43.620187619], [1.4317053129, 43.6206003809], [1.4313715087, 43.6209820649], [1.4311227094, 43.621278391], [1.4307528348, 43.6217020982], [1.4327829203, 43.622324782], [1.433087767, 43.6219743088], [1.433588851, 43.6215657908], [1.4338216478, 43.6212421801], [1.4342854551, 43.620627102], [1.4355662963, 43.6210167009], [1.4344302883, 43.6233691952], [1.4368729595, 43.6236478281], [1.4370208671, 43.6218981433], [1.4370244163, 43.6215641121], [1.43702463, 43.6215552855], [1.4370580326, 43.6203024087], [1.4370629785, 43.6201296168], [1.4370551455, 43.6199342112], [1.4369391262, 43.6188431684], [1.4367471674, 43.6181700105], [1.4367366441, 43.6178900581], [1.4364932421, 43.6185310196], [1.4356522194, 43.6182556309]]], ""type"": ""Polygon""}",Maison de la Citoyenneté Nord,4 place du Marché aux Cochons,"43.620939633797605,1.434778280633331"
162,PR,2022,2,31,555,16,1,157,I,1111,295,816,816,56,20,740,2,Macron,603,"{""coordinates"": [[[1.4356522194, 43.6182556309], [1.4355018986, 43.6182910376], [1.4346705009, 43.6198092751], [1.434576358, 43.6199432604], [1.4335899734, 43.6196330537], [1.4333436486, 43.6195503033], [1.4327875616, 43.6204562577], [1.4321527953, 43.6202432275], [1.4322883239, 43.6200931528], [1.4321961901, 43.6200618952], [1.4326240923, 43.6193084408], [1.4325306267, 43.6192610495], [1.4320435331, 43.6190391886], [1.4314983333, 43.6198743736], [1.4321414119, 43.6200954675], [1.4320613613, 43.620187619], [1.4317053129, 43.6206003809], [1.4313715087, 43.6209820649], [1.4311227094, 43.621278391], [1.4307528348, 43.6217020982], [1.4327829203, 43.622324782], [1.433087767, 43.6219743088], [1.433588851, 43.6215657908], [1.4338216478, 43.6212421801], [1.4342854551, 43.620627102], [1.4355662963, 43.6210167009], [1.4344302883, 43.6233691952], [1.4368729595, 43.6236478281], [1.4370208671, 43.6218981433], [1.4370244163, 43.6215641121], [1.43702463, 43.6215552855], [1.4370580326, 43.6203024087], [1.4370629785, 43.6201296168], [1.4370551455, 43.6199342112], [1.4369391262, 43.6188431684], [1.4367471674, 43.6181700105], [1.4367366441, 43.6178900581], [1.4364932421, 43.6185310196], [1.4356522194, 43.6182556309]]], ""type"": ""Polygon""}",Maison de la Citoyenneté Nord,4 place du Marché aux Cochons,"43.620939633797605,1.434778280633331"
163,PR,2022,2,31,555,16,1,158,I,1063,327,736,736,47,15,674,2,Le Pen,155,"{""coordinates"": [[[1.4298109083, 43.6131434329], [1.4294685115, 43.6133632502], [1.4276267471, 43.6166679551], [1.4277665096, 43.6167374796], [1.4302485358, 43.6177027214], [1.4309625508, 43.6169213856], [1.4314048626, 43.6164174231], [1.4319605336, 43.6158607466], [1.4325126876, 43.6152958798], [1.4329768551, 43.6148450478], [1.4331328247, 43.6146993829], [1.4312540346, 43.6137245506], [1.4298109083, 43.6131434329]]], ""type"": ""Polygon""}",Maison de la Citoyenneté Nord,4 place du Marché aux Cochons,"43.615420327836766,1.4302134932738795"
