Geo Point,Geo Shape,lieu_de_vote,adresse,bureaux,detail_emplacement
"43.607396490203726,1.4541871378316487","{""coordinates"": [1.454187137831649, 43.607396490203726], ""type"": ""Point""}",Centre sportif Léo Lagrange,Place Pierre-Paul Riquet,18 à 19,"Une série de panneaux, rue des Sept Troubadours"
"43.577204323445336,1.4380779999657494","{""coordinates"": [1.438077999965749, 43.577204323445336], ""type"": ""Point""}",École maternelle Léo Lagrange,35 allée Henri Sellier,74 à 75,"Une série de panneaux, sur grilles face à l'école"
"43.56482139944243,1.4115578786612393","{""coordinates"": [1.411557878661239, 43.56482139944243], ""type"": ""Point""}",École élementaire Buffon,6 impasse des Glières,91 à 93,Une série de panneaux face à l'école
"43.56472925490605,1.398632201921207","{""coordinates"": [1.398632201921207, 43.56472925490605], ""type"": ""Point""}",Centre socio-culturel Alban Minville,Place Martin Luther King,97 à 99,Une série de panneaux devant le parking
"43.57392248342865,1.402746494797726","{""coordinates"": [1.402746494797726, 43.57392248342865], ""type"": ""Point""}",École maternelle Didier Daurat,19 rue Jean Gilles,100 à 103,Une série de panneaux devant le groupe scolaire
"43.593288038649035,1.4315813645521809","{""coordinates"": [1.431581364552181, 43.593288038649035], ""type"": ""Point""}",Ecole élementaire Molière,36 rue Sainte Lucie,113 à 116,Une série de panneaux devant l’école
"43.62283631392034,1.4303239461341053","{""coordinates"": [1.430323946134105, 43.62283631392034], ""type"": ""Point""}",École élementaire Alfred de Musset,5 rue du Général Hoche,161 à 164,Une série de panneaux dans l'allée
"43.64511032053116,1.419690742743326","{""coordinates"": [1.419690742743326, 43.64511032053116], ""type"": ""Point""}",École maternelle Jean Dieuzaide,14 chemin de la Glacière,187,Une série de panneaux devant l’école
"43.61675756541307,1.4714166963731081","{""coordinates"": [1.471416696373108, 43.61675756541307], ""type"": ""Point""}",École élementaire de la Juncasse,133 rue Louis Plana,212 à 217,Une série de panneaux devant l'école
"43.60736708337796,1.4773929963996617","{""coordinates"": [1.477392996399662, 43.60736708337796], ""type"": ""Point""}",École élementaire Soupetard,37 rue de la Solidarité,218 à 221,Une série de panneaux devant l’allée de l'école
"43.58396138131959,1.4854179862338168","{""coordinates"": [1.485417986233817, 43.58396138131959], ""type"": ""Point""}",Ecole primaire la Terrasse,4 impasse Trutat,244 à 248,"Une série de panneaux sur grilles, à l’entrée de l’école"
"43.60113957987246,1.3699416514425087","{""coordinates"": [1.369941651442509, 43.60113957987246], ""type"": ""Point""}",Ecole élémentaire Fleurance,4 rue Théroigne de Méricourt,147 à 148,Une série de panneaux dans l'allée menant à l'entrée de l'école
