Geo Point,Geo Shape,infobulle,nom,adresse,nb_jeux,id_aires_jeux,cloture
" 43.60319549037183,1.4496505576951015","{""coordinates"": [[[[1.449566774530353, 43.60314217270118], [1.449564129435106, 43.603246312314], [1.44973439994485, 43.603248424986425], [1.449734926092129, 43.603206733200835], [1.449737827219308, 43.603144205840515], [1.4496634944924, 43.603144370201996], [1.449566774530353, 43.60314217270118]]]], ""type"": ""MultiPolygon""}",PLACE  OCCITANE PLACE OCCITANE 0 jeux,PLACE  OCCITANE,PLACE OCCITANE,0,127,NON
" 43.60868066303533,1.450454880359252","{""coordinates"": [[[[1.450420153376916, 43.608720954232936], [1.450465009952501, 43.608741639678215], [1.450527210628324, 43.608675001000464], [1.450422577916727, 43.608625454094735], [1.450381878053942, 43.60866698538313], [1.450443773530772, 43.60869435390285], [1.450420153376916, 43.608720954232936]]]], ""type"": ""MultiPolygon""}",BELFORT PLACE BELFORT 2 jeux,BELFORT,PLACE BELFORT,2,130,GRILLAGE RIGIDE
" 43.56975805299322,1.4008012606127058","{""coordinates"": [[[[1.400456092615208, 43.56987417795267], [1.400434078846728, 43.56991859780311], [1.400443408566827, 43.56996042677307], [1.400514366379836, 43.56999779750684], [1.400570657057687, 43.56999857684655], [1.400615010064895, 43.569977206675226], [1.400632594858008, 43.56994257426213], [1.400761192723025, 43.569929194232444], [1.400804811768952, 43.56997604411821], [1.400879032127923, 43.5699687351443], [1.400910427595596, 43.56992443607108], [1.400951172871316, 43.569921209978325], [1.401017726123519, 43.569928198864126], [1.401020825879298, 43.569969176337615], [1.401033552794668, 43.570000438273425], [1.401077754841002, 43.57002455569379], [1.401247991606213, 43.57001402004916], [1.401229985484989, 43.569905362227914], [1.40118287023255, 43.56987286819121], [1.401179306876184, 43.569850069446346], [1.401123025317054, 43.56983144748384], [1.401070559450323, 43.569861456036136], [1.401015606667074, 43.569889503599434], [1.400923900533965, 43.56988747805885], [1.400822646646208, 43.56989213520755], [1.400633488016635, 43.56990846697981], [1.400602163825179, 43.56987013260159], [1.400516523562088, 43.56985869302949], [1.400456092615208, 43.56987417795267]]], [[[1.400302443533508, 43.5696097342658], [1.400362626988535, 43.569621181618416], [1.400441918840164, 43.56961924565234], [1.400471579985479, 43.569601462185986], [1.40064266409643, 43.56959777211137], [1.400665241542388, 43.56961172353235], [1.400675000388331, 43.56963764192553], [1.400735012974089, 43.569655145430765], [1.400766991375824, 43.569628301396655], [1.400759403370661, 43.569599388207386], [1.400867812971502, 43.56960088888473], [1.400904891102773, 43.5696180748364], [1.400969431716903, 43.56962200203885], [1.401042473194258, 43.569619979147355], [1.401084885436323, 43.56959327043549], [1.401081746076793, 43.569553804838264], [1.401064014330968, 43.56951413727515], [1.401027174411829, 43.569487853096696], [1.400952398582705, 43.56947620411035], [1.400900160412565, 43.56948002733044], [1.400859839867721, 43.569506764929464], [1.400844652045127, 43.569529304128885], [1.400841540899639, 43.56956868321307], [1.400697378780904, 43.5695788139996], [1.400666451870444, 43.5695655032094], [1.400644331148051, 43.56953411117572], [1.400585835142917, 43.56953860383399], [1.400561928087257, 43.569575426357325], [1.400484834876276, 43.569572837557516], [1.400477815129715, 43.56952270420919], [1.400449292745251, 43.56949653500406], [1.400376489686599, 43.56948945924472], [1.400346940175633, 43.56950345416034], [1.400323959884739, 43.569524742070065], [1.400308202530303, 43.56954916385031], [1.400294994583952, 43.56957552046795], [1.400302443533508, 43.5696097342658]]]], ""type"": ""MultiPolygon""}",DOUVES AVENUE WINSTON CHURCHILL 12 jeux,DOUVES,AVENUE WINSTON CHURCHILL,12,58,NON
" 43.58098834206765,1.4621816992202796","{""coordinates"": [[[[1.462187918657828, 43.5809113351183], [1.462187918657828, 43.5809113351183], [1.46206591781731, 43.580993865694204], [1.462176809971398, 43.58106281448595], [1.462296540019315, 43.58098784258826], [1.462187918657828, 43.5809113351183]]]], ""type"": ""MultiPolygon""}",BEDOUCE AVENUE ALBERT BEDOUCE 5 jeux,BEDOUCE,AVENUE ALBERT BEDOUCE,5,148,
" 43.57704912741952,1.431933214627622","{""coordinates"": [[[[1.431727308446513, 43.57713970608459], [1.432075176121027, 43.576929106444055], [1.432118521928544, 43.576964084049116], [1.432089785703919, 43.57698272529631], [1.432063175268426, 43.57700297081474], [1.432000987036053, 43.57705560148835], [1.431983825990993, 43.57706566740929], [1.431939285085113, 43.57708494936546], [1.43185786659658, 43.577125021618876], [1.431831783607382, 43.57713581265835], [1.431784542774623, 43.57715028660757], [1.431755951652791, 43.57716471659134], [1.431727308446513, 43.57713970608459]]]], ""type"": ""MultiPolygon""}",PARC DE LA POUDRERIE DU RAMIER  9 jeux,PARC DE LA POUDRERIE DU RAMIER,,9,240,NON
" 43.600878860230516,1.4260164549278138","{""coordinates"": [[[[1.425966881140086, 43.600941230062666], [1.425983575628713, 43.60098126599484], [1.426015044291687, 43.60097487070218], [1.426044435255692, 43.60092750421528], [1.425990350925095, 43.60081987328696], [1.425917353307907, 43.600838972561824], [1.425966881140086, 43.600941230062666]]], [[[1.4260618091882, 43.60090083263639], [1.426112175476197, 43.60088938323065], [1.426098415676871, 43.60085659819587], [1.426118895769148, 43.600851187549814], [1.42609264344335, 43.60079700476041], [1.426021257551786, 43.60081461364411], [1.4260618091882, 43.60090083263639]]]], ""type"": ""MultiPolygon""}",Côté Garonne  4 jeux,Côté Garonne,,4,263,LISSE BOIS
" 43.622023788881414,1.4385988460291697","{""coordinates"": [[[[1.438615331183686, 43.62218410621404], [1.438755146372256, 43.62216438859965], [1.438747805265111, 43.6220638418039], [1.438721370693789, 43.62201647485469], [1.438686480634812, 43.62195232146211], [1.438622373286684, 43.62190646230364], [1.438578247996368, 43.621917992550785], [1.438578247996368, 43.621917992550785], [1.438520476689328, 43.621932525316204], [1.438549477027134, 43.622045238662395], [1.438615331183686, 43.62218410621404]]], [[[1.438286793850595, 43.62184810555736], [1.438318083906131, 43.621930404110635], [1.438398851770524, 43.621914048480356], [1.438363457404447, 43.62182942593786], [1.438286793850595, 43.62184810555736]]]], ""type"": ""MultiPolygon""}",ANGES RUE DES ANGES 11 jeux,ANGES,RUE DES ANGES,11,5,NON
" 43.61692853492629,1.445662896317851","{""coordinates"": [[[[1.445635277992337, 43.61704223159355], [1.445841931331959, 43.616928960942346], [1.445716611274006, 43.61681213683137], [1.44546952909876, 43.61693309179381], [1.445635277992337, 43.61704223159355]]]], ""type"": ""MultiPolygon""}",ABADIE 9 AVENUE COLLIGNON 4 jeux,ABADIE,9 AVENUE COLLIGNON,4,4,
" 43.606742409834474,1.4717624515235388","{""coordinates"": [[[[1.471779530604633, 43.60668379865943], [1.47166471471815, 43.60674898767439], [1.471753940906422, 43.60680134529603], [1.471856232100593, 43.6067341631619], [1.471779530604633, 43.60668379865943]]]], ""type"": ""MultiPolygon""}",COQUILLE 8 RUE CLAUDE AUGE 4 jeux,COQUILLE,8 RUE CLAUDE AUGE,4,13,
" 43.63844191909879,1.4641489365869726","{""coordinates"": [[[[1.464160745703944, 43.63839112280279], [1.464078518792004, 43.638409223574726], [1.46406729478161, 43.6384547696754], [1.464111549461712, 43.638496470387835], [1.464202517218365, 43.63848124032949], [1.464228407172132, 43.63845233597035], [1.464224227304921, 43.63841846821825], [1.464195938008638, 43.638392508336565], [1.464160745703944, 43.63839112280279]]]], ""type"": ""MultiPolygon""}",PARC OZENNE IMP CIMETIERE CROIX DAURADE 3 jeux,PARC OZENNE,IMP CIMETIERE CROIX DAURADE,3,14,
