Geo Point,Geo Shape,cdparcadas,type_culture,surface,entretien,collectivite,insee
"43.64658124639753,1.4064438375978001","{""coordinates"": [[[[1.405430448830452, 43.64650010099271], [1.407394023857592, 43.64695983775206], [1.407467258272925, 43.64677499570384], [1.407502585560685, 43.64668161886378], [1.405473750302881, 43.64619308252709], [1.405447267560601, 43.64638753057678], [1.405437017152389, 43.64646029880128], [1.405430448830452, 43.64650010099271]]]], ""type"": ""MultiPolygon""}",3155529CA0007,BIO,5556,RAVT,VT,31555
"43.64854441062267,1.4033054366309492","{""coordinates"": [[[[1.402480151091593, 43.6487325924047], [1.404253478303595, 43.64899566298376], [1.404278774590446, 43.64887760492639], [1.404372660634632, 43.64845545604748], [1.402277137573652, 43.64805223328464], [1.402337882849978, 43.64846412211909], [1.402480151091593, 43.6487325924047]]]], ""type"": ""MultiPolygon""}",3155529CB0006,ENTRETIEN,10262,RAVT,VT,31555
"43.64831938031836,1.4054929606415392","{""coordinates"": [[[[1.404817145454142, 43.647776004793286], [1.404653014210894, 43.64844167832614], [1.406523801426907, 43.648791979500366], [1.406520613428353, 43.648745591862614], [1.406514886615966, 43.64869540089835], [1.406509135127591, 43.64864615483197], [1.406501907140382, 43.64860824929983], [1.406494520067399, 43.648580751809334], [1.406483498670453, 43.64853524650974], [1.406468556885435, 43.648490655847986], [1.406410588918999, 43.648364343927035], [1.406100099072114, 43.64830597329763], [1.405703913970885, 43.6482279751184], [1.405464915068404, 43.64818059677775], [1.40547318663432, 43.64815133455012], [1.405555146598171, 43.64790885172695], [1.405186129546703, 43.64784337566793], [1.404817145454142, 43.647776004793286]]]], ""type"": ""MultiPolygon""}",3155529CC0013,BIO,8423,RAVT,VT,31555
"43.64765867402314,1.40648936605999","{""coordinates"": [[[[1.407226371805221, 43.647518573176576], [1.406762996541814, 43.647405019801], [1.406078943459274, 43.647238562155245], [1.406046492857442, 43.647230725934804], [1.405984152351929, 43.64738538134393], [1.405966435534652, 43.64743538074737], [1.405944494844761, 43.64750521338542], [1.405940247541644, 43.647526940380374], [1.405934763023624, 43.64754487116757], [1.405930642770552, 43.6475580837535], [1.405928998364566, 43.647579830412425], [1.405927569878474, 43.64758833408835], [1.40592618205072, 43.64759328962481], [1.405913494455093, 43.647655394373544], [1.405889885742575, 43.647748867409696], [1.405887131119248, 43.64775830525106], [1.405944351305388, 43.64776539896864], [1.405934467692433, 43.6478145160538], [1.405932926880258, 43.647829642060046], [1.405933981593295, 43.64784573466911], [1.405938956631968, 43.64786091445603], [1.405940154468706, 43.647867545838906], [1.405951613280241, 43.64788467124307], [1.405966953044843, 43.64790371899894], [1.405983633682571, 43.647919940508665], [1.406001624441129, 43.64793617286694], [1.406039114694829, 43.647955403405426], [1.406068882627219, 43.647967946857854], [1.406097397230518, 43.64797764271593], [1.406160965733908, 43.64799519622246], [1.406192147442856, 43.64800112804198], [1.406232455241975, 43.648006189937156], [1.40628712834389, 43.64800947643252], [1.406330135252443, 43.64800888423802], [1.40640049844239, 43.648008515857434], [1.406463060382832, 43.648007136138084], [1.406495631047161, 43.64800740477002], [1.406742822181143, 43.64803119441623], [1.406772845956077, 43.64786019013164], [1.407065200189412, 43.64791178800234], [1.407076886057835, 43.647914249904126], [1.407117671786895, 43.64780530600826], [1.407191115073452, 43.64760721928893], [1.407226371805221, 43.647518573176576]]]], ""type"": ""MultiPolygon""}",3155529CC0017,BIO,6541,RAVT,VT,31555
"43.6497121227849,1.408014239640087","{""coordinates"": [[[[1.406373398074751, 43.649497504523936], [1.406813869698497, 43.64957681055893], [1.407298493135048, 43.649665937517746], [1.408000125156969, 43.64979279425508], [1.408807070181007, 43.64993470134229], [1.40942691467057, 43.650042902307085], [1.409627019217936, 43.65007859997746], [1.409647265491182, 43.65003335205532], [1.409671027839738, 43.64992947209031], [1.409160391210034, 43.6498373039481], [1.408361280206088, 43.64969451685124], [1.40755829184145, 43.64954980192905], [1.406811195638261, 43.64941405402402], [1.406418819294661, 43.64934176612178], [1.406373398074751, 43.649497504523936]]]], ""type"": ""MultiPolygon""}",3155529CC0005,ENTRETIEN,4719,RAVT,VT,31555
"43.64935034105501,1.4080434890262943","{""coordinates"": [[[[1.406443681149691, 43.64925114241463], [1.407182933683912, 43.64938872022864], [1.407687040180301, 43.64948179036968], [1.408371750420482, 43.64960755854037], [1.409143558581032, 43.649746336801826], [1.409667187299597, 43.649841449138535], [1.409662647352496, 43.64979789137064], [1.409648187148085, 43.64972208253193], [1.409630346121249, 43.64969638964669], [1.409611187578452, 43.64967163468587], [1.409584250838808, 43.64964397668036], [1.409555941414663, 43.6496210367891], [1.409526688207958, 43.64957538379461], [1.409502728228931, 43.64952409612982], [1.409488839832852, 43.64941139302061], [1.409364094332543, 43.649389557734914], [1.40888728754852, 43.64930050373333], [1.407782917927257, 43.64909749950125], [1.407109913107634, 43.64897371456997], [1.40678384008718, 43.64891143312668], [1.406768260686353, 43.64890752042063], [1.406752689915632, 43.648903609631745], [1.406737087133208, 43.64890158887789], [1.406712349418879, 43.64890043975644], [1.40669409560676, 43.64890123620492], [1.406664055873812, 43.64890571968874], [1.406643118961306, 43.64891122517314], [1.406622158655857, 43.648918622610076], [1.40660376924386, 43.648927931529805], [1.40658273741571, 43.6489400595711], [1.406569562454113, 43.64894941330443], [1.406552370902636, 43.64896535538933], [1.406543092973843, 43.64897568643346], [1.406528496945226, 43.648992596903305], [1.406513725805547, 43.64902086043054], [1.406501366457856, 43.6490614434852], [1.406443681149691, 43.64925114241463]]]], ""type"": ""MultiPolygon""}",3155529CC0007,ENTRETIEN,10976,RAVT,VT,31555
"43.65214835965655,1.4097332494514305","{""coordinates"": [[[[1.410871360100568, 43.651176319191975], [1.409434303085118, 43.650913368135505], [1.409263636345036, 43.651596979523006], [1.40894443716956, 43.65232121134685], [1.408621485000886, 43.65318898739553], [1.41000372786348, 43.65334394323369], [1.410329920557902, 43.65241870534729], [1.410871360100568, 43.651176319191975]]]], ""type"": ""MultiPolygon""}",3155529CD0009,ENTRETIEN,28540,RAVT,VT,31555
"43.66022799201883,1.4076686107266996","{""coordinates"": [[[[1.406980031955866, 43.66075275866229], [1.407411398198334, 43.66083122081503], [1.407893595923029, 43.66091464786856], [1.407954588322975, 43.66076376528228], [1.408042674857515, 43.66054687837892], [1.408110135653955, 43.66039888799516], [1.408161385919079, 43.66028766292617], [1.408164092699222, 43.66028106371873], [1.408279476799062, 43.66006846454812], [1.408529977009676, 43.65977211260058], [1.408176698008208, 43.659722002041526], [1.408119498321661, 43.659713019429994], [1.408097391644643, 43.65970999839523], [1.407726791879859, 43.65965776306819], [1.407263868488041, 43.65959246991813], [1.407258661744382, 43.659592427048885], [1.40718948546218, 43.660131063511436], [1.407085162935959, 43.66040884429296], [1.406980031955866, 43.66075275866229]]]], ""type"": ""MultiPolygon""}",3155529CE0007,JACHERE,11150,RAVT,VT,31555
"43.64657904334639,1.4406200184274","{""coordinates"": [[[[1.44055939756953, 43.64654857462269], [1.440572631881959, 43.64662153055149], [1.440682278870764, 43.64660820541011], [1.440666401921812, 43.646537120541275], [1.44055939756953, 43.64654857462269]]]], ""type"": ""MultiPolygon""}",3155530AI0025,ENTRETIEN,72,RAVT,VT,31555
"43.64591757903123,1.4415303175983152","{""coordinates"": [[[[1.440992076074562, 43.64575913839666], [1.44111432291876, 43.64620857060341], [1.441114307445149, 43.646209515627625], [1.441995468473924, 43.646095372380174], [1.4420037859144, 43.64597527962876], [1.4420143312858, 43.645792759506314], [1.442021630876912, 43.64565373757508], [1.442021983306838, 43.645630086297714], [1.441091277381967, 43.64574667674982], [1.440992076074562, 43.64575913839666]]]], ""type"": ""MultiPolygon""}",3155530AI0540,ENTRETIEN,3974,RAVT,VT,31555
