Geo Point,Geo Shape,infobulle,nom,num_station,nb_bornettes,en_service,rue,mot_directeur,no,nrivoli,commune,code_insee,locations_2016
" 43.60743620001848,1.4446539258566566","{""coordinates"": [[1.444653925856657, 43.60743620001848]], ""type"": ""MultiPoint""}",14 - PERIGORD Nombre bornettes : 20 adresse : 26 RUE DE PERIGORD En service : oui,PERIGORD,14,20,oui,RUE DE PERIGORD,PERIGORD (RUE DE PERIGORD),26,3105556756,Toulouse,31555,17684
" 43.61046941134449,1.452756025098989","{""coordinates"": [[1.452756025098989, 43.61046941134449]], ""type"": ""MultiPoint""}",61 - BONREPOS Nombre bornettes : 25 adresse : 8T BD DE BONREPOS En service : oui,BONREPOS,61,25,oui,BD DE BONREPOS,BONREPOS (BD DE BONREPOS),8T,3105551256,Toulouse,31555,27856
" 43.613150786582445,1.4413370361733602","{""coordinates"": [[1.44133703617336, 43.613150786582445]], ""type"": ""MultiPoint""}",92 - CHALETS Nombre bornettes : 13 adresse : 31 RUE DES CHALETS En service : oui,CHALETS,92,13,oui,RUE DES CHALETS,CHALETS (RUE DES CHALETS),31,3105551852,Toulouse,31555,16138
" 43.60997859531561,1.4196129266982418","{""coordinates"": [[1.419612926698242, 43.60997859531561]], ""type"": ""MultiPoint""}",119 - CHAPOU Nombre bornettes : 24 adresse : 129 ALL DE BRIENNE En service : oui,CHAPOU,119,24,oui,ALL DE BRIENNE,BRIENNE (ALL DE BRIENNE),129,3105551424,Toulouse,31555,24475
" 43.60983569738909,1.4552800255487068","{""coordinates"": [[1.455280025548707, 43.60983569738909]], ""type"": ""MultiPoint""}",96 - MEDIATHEQUE Nombre bornettes : 25 adresse : 1 ALL JACQUES CHABAN DELMAS En service : oui,MEDIATHEQUE,96,25,oui,ALL JACQUES CHABAN DELMAS,DELMAS (ALL JACQUES CHABAN DELMAS),1,3105554399,Toulouse,31555,36114
" 43.58575680494193,1.4474339170478223","{""coordinates"": [[1.447433917047822, 43.58575680494193]], ""type"": ""MultiPoint""}",128 - MAISON D'ARRET ST MICHEL Nombre bornettes : 20 adresse : 18B GRANDE-RUE SAINT MICHEL En service : oui,MAISON D'ARRET ST MICHEL,128,20,oui,GRANDE-RUE SAINT MICHEL,MICHEL (GRANDE-RUE SAINT MICHEL),18B,3105557916,Toulouse,31555,35022
" 43.60748150987429,1.4517112728937176","{""coordinates"": [[1.451711272893718, 43.60748150987429]], ""type"": ""MultiPoint""}",38 - JAURES -  BACHELIER Nombre bornettes : 20 adresse : 60 ALL JEAN JAURES En service : oui,JAURES -  BACHELIER,38,20,oui,ALL JEAN JAURES,JAURES (ALL JEAN JAURES),60,3105554600,Toulouse,31555,20931
" 43.62297444854654,1.4344504287446904","{""coordinates"": [[1.43445042874469, 43.62297444854654]], ""type"": ""MultiPoint""}",132 - MINIMES - BAQUE Nombre bornettes : 15 adresse : 101 AV DES MINIMES En service : oui,MINIMES - BAQUE,132,15,oui,AV DES MINIMES,MINIMES (AV DES MINIMES),101,3105555956,Toulouse,31555,9271
" 43.59059399559864,1.44529342011539","{""coordinates"": [[1.44529342011539, 43.59059399559864]], ""type"": ""MultiPoint""}",103 - ST MICHEL - STE CATHERINE Nombre bornettes : 20 adresse : 139 GRANDE-RUE SAINT MICHEL En service : oui,ST MICHEL - STE CATHERINE,103,20,oui,GRANDE-RUE SAINT MICHEL,MICHEL (GRANDE-RUE SAINT MICHEL),139,3105557916,Toulouse,31555,24536
" 43.58862637154964,1.4506527457178975","{""coordinates"": [[1.450652745717897, 43.58862637154964]], ""type"": ""MultiPoint""}",118 - PLACE DU BUSCA Nombre bornettes : 17 adresse : 2 PL DU BUSCA En service : oui,PLACE DU BUSCA,118,17,oui,PL DU BUSCA,BUSCA (PL DU BUSCA),2,3105551464,Toulouse,31555,18533
" 43.58542148556378,1.4530155515505014","{""coordinates"": [[1.453015551550501, 43.58542148556378]], ""type"": ""MultiPoint""}",112 - PLACE RUSSEL -  BRANLY Nombre bornettes : 18 adresse : 47 ALL EDOUARD BRANLY En service : oui,PLACE RUSSEL -  BRANLY,112,18,oui,ALL EDOUARD BRANLY,BRANLY (ALL EDOUARD BRANLY),47,3105552896,Toulouse,31555,16325
" 43.600910117286986,1.4507244142551228","{""coordinates"": [[1.450724414255123, 43.600910117286986]], ""type"": ""MultiPoint""}",99 - METZ  - REMPART ST ETIENNE Nombre bornettes : 20 adresse : 5 RUE DU REMPART ST ETIENNE En service : oui,METZ  - REMPART ST ETIENNE,99,20,oui,RUE DU REMPART ST ETIENNE,ETIENNE (RUE DU REMPART ST ETIENNE),5,3105557384,Toulouse,31555,19637
" 43.60037216956467,1.4202843039454516","{""coordinates"": [[1.420284303945452, 43.60037216956467]], ""type"": ""MultiPoint""}",137 - BRUNHES FONTAINES Nombre bornettes : 55 adresse : 55 BD JEAN BRUNHES En service : oui,BRUNHES FONTAINES,137,55,oui,BD JEAN BRUNHES,BRUNHES (BD JEAN BRUNHES),55,3105554524,Toulouse,31555,16870
" 43.59550212593381,1.4184399275505835","{""coordinates"": [[1.418439927550583, 43.59550212593381]], ""type"": ""MultiPoint""}",139 - BARRIERE DE LOMBEZ Nombre bornettes : 20 adresse : 39 AV DE LOMBEZ En service : oui,BARRIERE DE LOMBEZ,139,20,oui,AV DE LOMBEZ,LOMBEZ (AV DE LOMBEZ),39,3105555308,Toulouse,31555,18986
" 43.60684128842714,1.45804986995685","{""coordinates"": [[1.45804986995685, 43.60684128842714]], ""type"": ""MultiPoint""}",176 - GENERAL COMPANS Nombre bornettes : 18 adresse : 1 RUE DU GEN JEAN COMPANS En service : oui,GENERAL COMPANS,176,18,oui,RUE DU GEN JEAN COMPANS,COMPANS (RUE DU GEN JEAN COMPANS),1,3105552250,Toulouse,31555,13172
" 43.61744620673691,1.4654840480703735","{""coordinates"": [[1.465484048070373, 43.61744620673691]], ""type"": ""MultiPoint""}",177 - BAILLAUD BRUNAUD Nombre bornettes : 20 adresse : 64 RUE BENJAMIN BAILLAUD En service : oui,BAILLAUD BRUNAUD,177,20,oui,RUE BENJAMIN BAILLAUD,BAILLAUD (RUE BENJAMIN BAILLAUD),64,3105551044,Toulouse,31555,1396
" 43.61931165859471,1.4687286795154042","{""coordinates"": [[1.468728679515404, 43.61931165859471]], ""type"": ""MultiPoint""}",178 - PLACE DE LA ROSERAIE Nombre bornettes : 20 adresse : 98 AV YVES BRUNAUD En service : oui,PLACE DE LA ROSERAIE,178,20,oui,AV YVES BRUNAUD,BRUNAUD (AV YVES BRUNAUD),98,3105558972,Toulouse,31555,10271
" 43.60596153656217,1.481748495217635","{""coordinates"": [[1.481748495217635, 43.60596153656217]], ""type"": ""MultiPoint""}",182 - CHAUBET Nombre bornettes : 20 adresse : 158 AV JEAN CHAUBET En service : oui,CHAUBET,182,20,oui,AV JEAN CHAUBET,CHAUBET (AV JEAN CHAUBET),158,3105554540,Toulouse,31555,3214
