Geo Point,Geo Shape,infobulle,site,annee_installation,zone_emission,disponibilite,adresse,commune
" 43.60456389071142,1.4452166673544555","{""coordinates"": [[1.445216667354456, 43.60456389071142]], ""type"": ""MultiPoint""}",Site Square de Gaulle Adresse : SQ GENERAL DE GAULLE Année installation : 2015 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Square de Gaulle,2015,extérieur,24h/24h (avec garantie de service),SQ GENERAL DE GAULLE,TOULOUSE
" 43.593869439636514,1.4478250001604995","{""coordinates"": [[1.4478250001605, 43.593869439636514]], ""type"": ""MultiPoint""}",Site Jules Guesdes 3 Adresse : Allees Jules Guesde Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Jules Guesdes 3,2016,extérieur,24h/24h (avec garantie de service),Allees Jules Guesde,TOULOUSE
" 43.620425003231,1.4346166645227092","{""coordinates"": [[1.434616664522709, 43.620425003231]], ""type"": ""MultiPoint""}",Site Bibliothèque des Minimes Adresse : place marché aux cochons Année installation : 2016 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Bibliothèque des Minimes,2016,intérieur bâtiment,24h/24h (sans garantie de service),place marché aux cochons,TOULOUSE
" 43.58566388770719,1.4660749962897552","{""coordinates"": [[1.466074996289755, 43.58566388770719]], ""type"": ""MultiPoint""}",Site St Exupéry Adresse : 63 bis avenue de Saint Exupery Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),St Exupéry,2015,intérieur bâtiment,24h/24h (sans garantie de service),63 bis avenue de Saint Exupery,TOULOUSE
" 43.59882778486302,1.4305555634560436","{""coordinates"": [[1.430555563456044, 43.59882778486302]], ""type"": ""MultiPoint""}",Site Bibliothèque St cyprien Adresse : 63 rue Réclusane Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Bibliothèque St cyprien,2015,intérieur bâtiment,24h/24h (sans garantie de service),63 rue Réclusane,TOULOUSE
" 43.60357999847631,1.4544220013091764","{""coordinates"": [[1.454422001309176, 43.60357999847631]], ""type"": ""MultiPoint""}","Site Saint Aubin Adresse : 1 bis boulevard J, Michelet Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service)",Saint Aubin,2017,extérieur,24h/24h (avec garantie de service),"1 bis boulevard J, Michelet",TOULOUSE
" 43.60812600180965,1.4409850027278903","{""coordinates"": [[1.44098500272789, 43.60812600180965]], ""type"": ""MultiPoint""}",Site Saint Sernin Adresse : Parvis St Jean Paul II Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Saint Sernin,2017,extérieur,24h/24h (avec garantie de service),Parvis St Jean Paul II,TOULOUSE
" 43.64028099901876,1.4526239985042528","{""coordinates"": [[1.452623998504253, 43.64028099901876]], ""type"": ""MultiPoint""}",Site Maourine Adresse : Carré de la Maourine Année installation : 2017 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Maourine,2017,extérieur,24h/24h (avec garantie de service),Carré de la Maourine,TOULOUSE
" 43.59579399587001,1.4558510013300485","{""coordinates"": [[1.455851001330049, 43.59579399587001]], ""type"": ""MultiPoint""}",Site Port Saint Sauveur Adresse : 7 port St Sauveur Année installation : 2015 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Port Saint Sauveur,2015,extérieur,24h/24h (sans garantie de service),7 port St Sauveur,TOULOUSE
" 43.60328799916931,1.4531440044144324","{""coordinates"": [[1.453144004414432, 43.60328799916931]], ""type"": ""MultiPoint""}","Site Espace diversités et laïcité Adresse : 38, rue d'Aubuisson Année installation : 2014 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service)",Espace diversités et laïcité,2014,intérieur bâtiment,24h/24h (sans garantie de service),"38, rue d'Aubuisson",TOULOUSE
" 43.60725400168941,1.4420850022298701","{""coordinates"": [[1.44208500222987, 43.60725400168941]], ""type"": ""MultiPoint""}",Site Taur Adresse : 71 rue du Taur Année installation : 2019 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Taur,2019,intérieur bâtiment,24h/24h (sans garantie de service),71 rue du Taur,TOULOUSE
" 43.58912900202916,1.3785770027634319","{""coordinates"": [[1.378577002763432, 43.58912900202916]], ""type"": ""MultiPoint""}",Site Mairie de quartier Lardenne Adresse : 2 place sauvegrain Année installation : 2019 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Mairie de quartier Lardenne,2019,intérieur bâtiment,24h/24h (sans garantie de service),2 place sauvegrain,TOULOUSE
" 43.61851599312974,1.397998995714521","{""coordinates"": [[1.397998995714521, 43.61851599312974]], ""type"": ""MultiPoint""}",Site Mairie de quartier Ancely Adresse : 11 alée du Vivarais Année installation : 2019 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Mairie de quartier Ancely,2019,intérieur bâtiment,24h/24h (sans garantie de service),11 alée du Vivarais,TOULOUSE
" 43.60377778038338,1.4359638904253524","{""coordinates"": [[1.435963890425352, 43.60377778038338]], ""type"": ""MultiPoint""}",Site Saint-Pierre 2 Adresse : PL SAINT PIERRE Année installation : 2015 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Saint-Pierre 2,2015,extérieur,24h/24h (avec garantie de service),PL SAINT PIERRE,TOULOUSE
" 43.60171388994047,1.439688884239045","{""coordinates"": [[1.439688884239045, 43.60171388994047]], ""type"": ""MultiPoint""}",Site Daurade Adresse : PL DE LA DAURADE Année installation : 2015 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Daurade,2015,extérieur,24h/24h (avec garantie de service),PL DE LA DAURADE,TOULOUSE
" 43.607916670968976,1.445780561641785","{""coordinates"": [[1.445780561641785, 43.607916670968976]], ""type"": ""MultiPoint""}",Site Alsace 3 Adresse : 56 RUE D ALSACE LORRAINE Année installation : 2015 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Alsace 3,2015,extérieur,24h/24h (avec garantie de service),56 RUE D ALSACE LORRAINE,TOULOUSE
" 43.61018332477245,1.4558527722722014","{""coordinates"": [[1.455852772272201, 43.61018332477245]], ""type"": ""MultiPoint""}",Site Médiathèque José Cabanis Adresse : 1 ALL JACQUES CHABAN DELMAS Année installation : 2015 Zone émission : intérieur bâtiment Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (sans garantie de service),Médiathèque José Cabanis,2015,intérieur bâtiment,24h/24h (sans garantie de service),1 ALL JACQUES CHABAN DELMAS,TOULOUSE
" 43.5950861054385,1.4514694385017295","{""coordinates"": [[1.451469438501729, 43.5950861054385]], ""type"": ""MultiPoint""}",Site Jules Guesdes 1 Adresse : Allees Jules Guesde Année installation : 2016 Zone émission : extérieur Nom connexion : _Toulouse_wifi Disponibilité : 24h/24h (avec garantie de service),Jules Guesdes 1,2016,extérieur,24h/24h (avec garantie de service),Allees Jules Guesde,TOULOUSE
