Geo Point,Geo Shape,numero,type,accessibilité,ADRESSE,insee
"43.593316940281866,1.434933885468585","{""coordinates"": [[1.434933885468585, 43.593316940281866]], ""type"": ""MultiPoint""}",943,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,3 Rue Laganne Toulouse,31555
"43.59642429836202,1.4539091351390099","{""coordinates"": [[1.45390913513901, 43.59642429836202]], ""type"": ""MultiPoint""}",939,Sanitaire standard,Non accessible aux personnes à mobilité réduite,1 Allées Paul Sabatier Toulouse,31555
"43.599546560534286,1.4545880030799156","{""coordinates"": [[1.454588003079916, 43.599546560534286]], ""type"": ""MultiPoint""}",4727,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,16 Place Dominique Martin Dupuy Toulouse,31555
"43.581449356634465,1.4132562438475995","{""coordinates"": [[1.4132562438476, 43.581449356634465]], ""type"": ""MultiPoint""}",951,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,0002 Rue de Saintonge Toulouse,31555
"43.60069996858586,1.4436316412987145","{""coordinates"": [[1.443631641298714, 43.60069996858586]], ""type"": ""MultiPoint""}",5292,Vespasienne,Non accessible aux personnes à mobilité réduite,0010 Rue Malcousinat Toulouse,31555
"43.6034242520762,1.4350090361983048","{""coordinates"": [[1.435009036198305, 43.6034242520762]], ""type"": ""MultiPoint""}",5981,Vespasienne,Non accessible aux personnes à mobilité réduite,1 Quai Saint Pierre Toulouse,31555
"43.5992650107275,1.4522862380163004","{""coordinates"": [[1.4522862380163, 43.5992650107275]], ""type"": ""MultiPoint""}",932,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,1 Esplanade du 19 Août 1944 Toulouse,31555
"43.61030640905685,1.4435154195611906","{""coordinates"": [[1.443515419561191, 43.61030640905685]], ""type"": ""MultiPoint""}",896,Sanitaire standard,Non accessible aux personnes à mobilité réduite,75 Boulevard de Strasbourg Toulouse,31555
"43.60657831400302,1.447544029564241","{""coordinates"": [[1.447544029564241, 43.60657831400302]], ""type"": ""MultiPoint""}",941,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,9 Boulevard de Strasbourg Toulouse,31555
"43.608127525792945,1.4279554857882084","{""coordinates"": [[1.427955485788208, 43.608127525792945]], ""type"": ""MultiPoint""}",2727,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,1 Square de l'Héraclès Toulouse,31555
"43.59193657342293,1.444929917294073","{""coordinates"": [[1.444929917294073, 43.59193657342293]], ""type"": ""MultiPoint""}",9152,Vespasienne,Non accessible aux personnes à mobilité réduite,0013B Place Auguste Lafourcade Toulouse,31555
"43.57947636740338,1.4591838528751184","{""coordinates"": [[1.459183852875118, 43.57947636740338]], ""type"": ""MultiPoint""}",931,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,1 Avenue Albert Bedouce Toulouse,31555
"43.610525594766564,1.4398833905207498","{""coordinates"": [[1.43988339052075, 43.610525594766564]], ""type"": ""MultiPoint""}",9370,Vespasienne,Non accessible aux personnes à mobilité réduite,0003 Rue de la Verge d'Or Toulouse,31555
"43.612337747363746,1.4777307253680694","{""coordinates"": [[1.477730725368069, 43.612337747363746]], ""type"": ""MultiPoint""}",930,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,7 Place de Soupetard Toulouse,31555
"43.57933504330731,1.4835360424678543","{""coordinates"": [[1.483536042467854, 43.57933504330731]], ""type"": ""MultiPoint""}",945,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,339 Avenue Jean Rieux Toulouse,31555
"43.59447328529628,1.449522009154248","{""coordinates"": [[1.449522009154248, 43.59447328529628]], ""type"": ""MultiPoint""}",4580,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,37 Allées Jules Guesde Toulouse,31555
"43.60123541208782,1.4521870391867957","{""coordinates"": [[1.452187039186796, 43.60123541208782]], ""type"": ""MultiPoint""}",947,Sanitaire standard,Non accessible aux personnes à mobilité réduite,6 Boulevard Lazare Carnot Toulouse,31555
"43.598602780651895,1.440787075794807","{""coordinates"": [[1.440787075794807, 43.598602780651895]], ""type"": ""MultiPoint""}",952,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,65 Avenue de la Garonnette Toulouse,31555
"43.60096037944347,1.4350220325685","{""coordinates"": [[1.4350220325685, 43.60096037944347]], ""type"": ""MultiPoint""}",7733,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,0043 Rue Viguerie Toulouse,31555
"43.578132240237686,1.4408387308951978","{""coordinates"": [[1.440838730895198, 43.578132240237686]], ""type"": ""MultiPoint""}",7732,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,0041 Avenue Jean Moulin Toulouse,31555
"43.607876758576694,1.440795113565453","{""coordinates"": [[1.440795113565453, 43.607876758576694]], ""type"": ""MultiPoint""}",6325,Sanitaire tous publics,Accessible aux personnes à mobilité réduite,0027 Rue Emile Cartailhac Toulouse,31555
