Geo Point,Geo Shape,rue,motdir,id_seg_ges,commune,code_insee,codsti,nrivoli,pole,longueur,id_seg_obs,type,arrete,sensunique,doublesens_cyclable
"43.603926101949504,1.4440856787266045","{""coordinates"": [[[1.443922386889348, 43.60391913725216], [1.444248970563861, 43.603933066646846]]], ""type"": ""MultiLineString""}",RUE DE LA POMME,POMME (RUE DE LA POMME),4624,TOULOUSE,31555,3.15555E+11,3105556988,Centre,26,4624,Aire Pietonne,19/142,oui,oui
"43.60630789882058,1.4472016561896692","{""coordinates"": [[[1.446970738803668, 43.60633872226079], [1.447432573575671, 43.606277075380376]]], ""type"": ""MultiLineString""}",RUE PORTE SARDANE,SARDANE (RUE PORTE SARDANE),3337,TOULOUSE,31555,3.15556E+11,3105557028,Centre,38,3337,Aire Pietonne,18/206,oui,oui
"43.602184721289305,1.44353489964458","{""coordinates"": [[[1.443533602239367, 43.60205414264514], [1.443536197049793, 43.602315299933466]]], ""type"": ""MultiLineString""}",RUE SAINT ROME,ROME (RUE SAINT ROME),4639,TOULOUSE,31555,3.15556E+11,3105557972,Centre,29,4639,Aire Pietonne,11/096,oui,oui
"43.60174781414923,1.443560954714538","{""coordinates"": [[[1.443558423885702, 43.60178658473372], [1.443563485543374, 43.60170904356473]]], ""type"": ""MultiLineString""}",RUE SAINT ROME,ROME (RUE SAINT ROME),4640,TOULOUSE,31555,3.15556E+11,3105557972,Centre,9,4640,Aire Pietonne,11/096,oui,oui
"43.601613713343006,1.443592252609589","{""coordinates"": [[[1.443621019675804, 43.60151838312128], [1.443563485543374, 43.60170904356473]]], ""type"": ""MultiLineString""}",RUE SAINT ROME,ROME (RUE SAINT ROME),4651,TOULOUSE,31555,3.15556E+11,3105557972,Centre,22,4651,Aire Pietonne,11/096,oui,oui
"43.60277509251131,1.4501344379371297","{""coordinates"": [[[1.450235312210948, 43.60315039068466], [1.450223466643643, 43.60263181406768], [1.449808204862513, 43.602628559319136]]], ""type"": ""MultiLineString""}",PL OCCITANE,OCCITANE (PL OCCITANE),8745,TOULOUSE,31555,3.15558E+11,3105556350,Centre,91,8745,Aire Pietonne,11/109,,
"43.63611486739529,1.4643106188237036","{""coordinates"": [[[1.464161182434973, 43.636134528962465], [1.464460055212435, 43.63609520582811]]], ""type"": ""MultiLineString""}",PL SAINT CAPRAIS,CAPRAIS (PL SAINT CAPRAIS),8956,TOULOUSE,31555,3.15558E+11,3105557726,Nord,24,8956,Aire Pietonne,02/213,,
"43.60997460493934,1.438696705047371","{""coordinates"": [[[1.438237921731784, 43.609897249592805], [1.438732578287433, 43.60999388249826], [1.439159214961201, 43.61002376980502]]], ""type"": ""MultiLineString""}",RUE DES QUETEURS,QUETEURS (RUE DES QUETEURS),3239,TOULOUSE,31555,3.15556E+11,3105557228,Centre,76,3239,Aire Pietonne,07/307,oui,oui
"43.60234661069732,1.447578922015078","{""coordinates"": [[[1.447287017738357, 43.60232205692373], [1.447870826291799, 43.6023711644709]]], ""type"": ""MultiLineString""}",PL SAINT GEORGES,GEORGES (PL SAINT GEORGES),4682,TOULOUSE,31555,3.15556E+11,3105557792,Centre,47,4682,Aire Pietonne,11/111,,
"43.60249741531492,1.4459839966006767","{""coordinates"": [[[1.445637233744555, 43.60251066475834], [1.445828766247742, 43.60249988068102], [1.446030834313173, 43.60248254017666], [1.446188175634211, 43.602495125063136], [1.446329792663813, 43.602515168384606]]], ""type"": ""MultiLineString""}",RUE DU FOURBASTARD,FOURBASTARD (RUE DU FOURBASTARD),4662,TOULOUSE,31555,3.15553E+11,3105553416,Centre,56,4662,Aire Pietonne,11/108,oui,oui
